date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:25	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:23%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.eot?	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.34d41d.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:26	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:24%20GMT	http://aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.woff2	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.35.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:26	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:24%20GMT	http://aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.woff	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.36.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:27	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:25%20GMT	http://aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.ttf	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.37.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:27	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:25%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.eot	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.38.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:27	171701/171701	---M--	200	added ('OK')	image/png	etag:%225a03b845-29eb5%22	http://www.junglesystem.com/theme/junglesystem_2017/img/solution/mrmygle-2.png	C:/My%20Web%20Sites/wejo/www.junglesystem.com/theme/junglesystem_2017/img/solution/mrmygle-2.png	(from http://www.junglesystem.com/theme/junglesystem_2017/css/default.css?ver=161120)
16:17:28	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:26%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.eot?	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.39d41d.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:28	96643/96643	---M--	200	added ('OK')	image/png	etag:%225a129071-17983%22	http://www.junglesystem.com/theme/junglesystem_2017/img/main-solution-image.png	C:/My%20Web%20Sites/wejo/www.junglesystem.com/theme/junglesystem_2017/img/main-solution-image.png	(from http://www.junglesystem.com/theme/junglesystem_2017/css/default.css?ver=161120)
16:17:28	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:26%20GMT	http://aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.woff2	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.3a.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:28	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:27%20GMT	http://aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.woff	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.3b.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:29	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:27%20GMT	http://aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.ttf	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95R.3c.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:29	0/-1	---M--	500	error ('')			http://aleen.kro.kr//mobile_icon.ico	C:/My%20Web%20Sites/wejo/aleen.kro.kr/mobile_icon.html	(from http://aleen.kro.kr//5INF6I54NPaeMJt8OZNO)
16:17:29	0/-1	---M--	500	error ('')			http://aleen.kro.kr//mobile_icon.ico	C:/My%20Web%20Sites/wejo/aleen.kro.kr/mobile_icon.html	(from http://aleen.kro.kr//5INF6I54NPaeMJt8OZNO)
